Trat	Bloco	X1	X2	X3	X4
T1	1	50.2	20.5	3.9	104.9
T2	1	41.8	19.5	3.7	88
T3	1	39.2	19	4.5	80
T4	1	33.8	20	4.3	80.8
T5	1	35.6	20	4.1	60
T6	1	53.4	19.2	4.2	96.4
T7	1	43.8	19.5	4.3	91.5
T8	1	50.6	19.7	4.2	91.8
T1	2	41.4	20.6	4	84.3
T2	2	47.2	20.1	3.6	106.5
T3	2	37.6	18.5	4.6	71.3
T4	2	49.6	20.3	4.4	106.5
T5	2	31.4	20.8	4	52.5
T6	2	50.2	19.5	4.5	98.8
T7	2	46.8	20.4	4.3	99.7
T8	2	57.8	19.8	4	84.8
T1	3	36.2	20.5	3.8	77
T2	3	39.6	19.3	3.6	89.8
T3	3	38.8	18.1	4.6	77.5
T4	3	35.4	20.6	4.2	83.3
T5	3	33.2	20.3	4.2	53
T6	3	49.6	20.3	4.3	99.1
T7	3	41.4	20.7	4.2	83.3
T8	3	41.8	20.1	4.3	70.6
T1	4	39.8	19.6	3.9	76.5
T2	4	46.6	20.1	3.7	108.7
T3	4	33.6	19.3	4.7	69.5
T4	4	41.8	20.3	4.3	95.9
T5	4	29.8	19.9	4.1	51
T6	4	57.8	19.9	4.5	107.2
T7	4	43.6	20.3	4.3	89.5
T8	4	46.8	20.5	4.1	81.5
